t,dp1,dp2,dp3,tau1,tau2,tau3
1.51,-0.209877866081739,-0.720058664009071,0.681631691003222,35.8683633272427,-2.55396027806935,0.13250022015179
1.52,-0.217878682553973,-0.722468161282941,0.668155536040591,36.0039522163046,-2.78152888431605,0.0819299648560281
1.53,-0.225879499026207,-0.724877658556811,0.65467938107796,36.1382802973522,-3.00938199341328,0.0318882078667524
1.54,-0.233880315498441,-0.727287155830681,0.641203226115329,36.2713853171878,-3.2374545075579,-0.0175833017049136
1.55,-0.241881131970676,-0.729696653104552,0.627727071152699,36.4033045169618,-3.46568152010003,-0.0664430741385593
1.56,-0.24988194844291,-0.732106150378422,0.614250916190068,36.5340746127972,-3.69399834688313,-0.114649904768374
1.57,-0.257882764915144,-0.734515647652292,0.600774761227437,36.6637317768449,-3.92234055742591,-0.162162899500021
1.58,-0.265883581387378,-0.736925144926163,0.587298606264806,36.7923116187772,-4.15064400594157,-0.208941500168958
1.59,-0.273884397859612,-0.739334642200033,0.573822451302175,36.9198491677276,-4.37884486215386,-0.254945509718471
1.6,-0.281885214331846,-0.741744139473903,0.560346296339544,37.0463788546749,-4.60687964190667,-0.300135117183934
1.61,-0.289886030804081,-0.744153636747774,0.546870141376914,37.1719344952733,-4.83468523755983,-0.344470922470685
1.62,-0.297886847276315,-0.746563134021645,0.533393986414283,37.2965492731444,-5.06219894812667,-0.38791396090427
1.63,-0.305887663748549,-0.748972631295515,0.519917831451652,37.4202557236231,-5.2893585091388,-0.430425727536568
1.64,-0.313888480220784,-0.751382128569385,0.506441676489021,37.5430857179628,-5.51610212225156,-0.4719682011999
1.65,-0.321889296693018,-0.753791625843256,0.49296552152639,37.6650704480047,-5.74236848455252,-0.512503868291436
1.66,-0.329890113165252,-0.756201123117126,0.479489366563759,37.786240411312,-5.96809681754585,-0.551995746265917
1.67,-0.337890929637486,-0.758610620390996,0.466013211601128,37.9066253967721,-6.19322689580655,-0.590407406827199
1.68,-0.34589174610972,-0.761020117664867,0.452537056638497,38.02625447067,-6.41769907529533,-0.627702998805903
1.69,-0.353892562581954,-0.763429614938737,0.439060901675866,38.1451559632338,-6.64145432131408,-0.663847270705028
1.7,-0.361893379054189,-0.765839112212607,0.425584746713235,38.2633574556494,-6.86443423606719,-0.698805592898965
1.71,-0.369894195526423,-0.768248609486477,0.412108591750605,38.3808857675556,-7.08658108583769,-0.732543979474171
1.72,-0.377895011998657,-0.770658106760348,0.398632436787974,38.497766945015,-7.30783782775309,-0.765029109695202
1.73,-0.385895828470892,-0.773067604034218,0.385156281825343,38.6140262489562,-7.52814813612528,-0.79622834908491
1.74,-0.393896644943126,-0.775477101308088,0.371680126862712,38.7296881441005,-7.74745642834606,-0.82610977010306
1.75,-0.40189746141536,-0.777886598581959,0.358203971900081,38.8447762883647,-7.9657078903226,-0.854642172409829
1.76,-0.409898277887595,-0.780296095855829,0.344727816937451,38.9593135227436,-8.18284850145484,-0.88179510270523
1.77,-0.417899094359829,-0.7827055931297,0.33125166197482,39.0733218616727,-8.39882505911339,-0.907538874126452
1.78,-0.425899910832063,-0.78511509040357,0.317775507012189,39.1868224838701,-8.61358520263165,-0.931844585195485
1.79,-0.433900727304297,-0.787524587677441,0.304299352049558,39.299835723657,-8.82707743677665,-0.954684138301515
1.8,-0.441901543776531,-0.789934084951311,0.290823197086927,39.4123810627598,-9.03925115468764,-0.976030257706211
1.81,-0.449902360248765,-0.792343582225181,0.277347042124296,39.5244771225915,-9.25005666029205,-0.995856507065139
1.82,-0.457903176720999,-0.794753079499052,0.263870887161665,39.636141657012,-9.45944519015524,-1.01413730644855
1.83,-0.465903993193234,-0.797162576772922,0.250394732199034,39.7473915455659,-9.66736893476985,-1.03084794885266
1.84,-0.473904809665468,-0.799572074046792,0.236918577236403,39.8582427871992,-9.87378105927312,-1.04596461619273
1.85,-0.481905626137702,-0.801981571320663,0.223442422273772,39.968710494454,-10.0786357235678,-1.05946439476486
1.86,-0.489906442609936,-0.804391068594533,0.209966267311141,40.0788088881378,-10.2818881018458,-1.07132529016811
1.87,-0.49790725908217,-0.806800565868403,0.196490112348511,40.1885512924683,-10.4834944015065,-1.08152624167885
